Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
543;5;0;0;13,75;22,3808;19,2392;5;0;0;0;0;18,9;88,8;52,9;69,1;104,1;401,8532;835,7918;389,4851
544;5;0,3763;0,0129;13,6875;24,5655;21,0804;6;0;5;0;2;75,5;42,4;24,7;41,5;119,9;387,801;967,2322;419,9479
545;5;0;0;13,6875;24,5317;21,6911;0;0;24;1;0;49;144,1;88,4;109,3;140,5;341,6879;918,189;397,1693
546;5;0;0,0076;13,5333;25,1438;24,1769;1;1;36;1;1;109,7;124,3;81,7;118,8;94,3;314,3927;980,7574;378,85
547;5;0;0;13,6875;25,8427;21,7364;0;4;24;2;2;69,8;130,5;18;51,5;87,8;367,8019;894,0938;383,8734
548;5;0,0463;0;13,4667;23,7541;24,6818;13;0;4;3;0;90,7;82,6;3,3;128,1;23,8;348,3007;833,4097;434,138
549;5;0,0103;0;13,6667;23,8815;19,6818;3;0;0;0;0;66,4;41,9;52,9;55,9;126,1;368,5381;889,5467;395,824
550;5;0,0242;0;13,5625;24,403;21,3004;3;0;0;0;0;111,2;46;24;44,4;85,4;359,1482;929,7356;408,1007
551;5;0,0283;0;13,625;24,9281;21,3004;3;0;0;0;0;111,2;46;24;44,4;85,4;360,8849;887,2859;430,6255
552;5;0,0058;0;13,6471;22,6601;20,9326;9;0;0;0;1;48,3;211;87,4;88,8;68,5;416,7029;802,2485;411,2964
553;5;0;0;13,6875;25,8427;21,7364;0;4;24;2;2;69,8;130,5;18;51,5;87,8;367,8019;894,0938;383,8734
554;5;0,1721;0;13,5333;25,2887;21,3264;5;0;2;0;0;52,1;176,6;87,4;45,8;123,3;373,4042;935,7365;416,0884
555;5;0,0412;0;13,6875;23,1317;21,1426;9;0;1;0;1;28,3;211;87,4;100,3;68,5;404,0294;874,22;421,6151
556;5;0;0;13,9333;25,4358;20,9257;0;3;9;2;7;55,3;75,7;19,8;23,7;61,4;373,7059;750,4034;398,8728
557;5;0,195;0;13,375;25,7627;21,3264;5;0;2;0;0;198,1;31;87,4;89,2;123,3;368,9226;936,7722;415,0876
558;5;0;0;13,6842;22,3225;21,8516;0;1;15;2;0;108,5;149,5;16;17,3;67,7;375,7723;535,973;442,9246
559;5;0,3578;0;13,2222;24,9109;17,0888;0;0;2;0;3;40,6;83,7;46,6;8,3;76,6;365,981;618,1963;490,4737
560;5;0,3906;0,0236;13,8125;25,8421;16,9734;1;1;15;1;6;33,8;86,6;5,7;0;104,4;331,0376;689,8961;427,4752
561;5;0,3835;0,01;12,8947;24,592;17,0888;0;0;7;0;3;47,8;76,4;46,6;22,5;76,6;355,5911;669,456;470,4325
562;5;0,2518;0,6565;14,3529;20,5122;22,4604;4;0;0;4;1;68;21,2;10,7;28;66,3;335,6035;666,2912;397,5466
563;5;0;0;14,375;19,5854;18,7585;2;0;0;0;3;73,4;142,2;27,5;82,1;148,3;369,7567;732,4787;409,7556
564;5;0;0;14,5625;24,241;21,7602;0;0;0;3;4;22,9;160,8;28,7;96,4;58,4;365,026;737,8884;363,65
565;5;0,0051;0,3533;13,7059;23,7868;23,9972;2;0;0;2;0;54,5;54,9;0,7;28,2;34,1;368,1652;756,2408;384,7097
566;5;0,0218;0,0522;13,7059;24,0499;23,3865;0;0;0;1;0;26;47,7;5,9;32,2;30,8;386,9802;803,975;389,7691
567;5;0;0;13,3889;26,5829;24,0855;0;1;0;0;2;120,9;55,6;12,5;32,6;47,1;372,9334;906,4372;368,4125
568;5;0;0;13,875;20,2363;18,1139;0;0;11;3;2;91,2;198,9;11,2;105,9;181,7;409,45;907,6568;454,7783
569;5;0;0;13,875;18,4277;20,6942;2;0;1;0;0;65,2;192,3;0,9;46,6;82;385,6302;821,7158;424,292
570;5;0;0;14,1333;20,6865;19,0285;2;0;1;0;3;103,2;112,2;27,5;73,1;157,3;343,1254;768,4812;398,2478
571;5;0;0;13,6667;24,2796;23,7766;2;4;0;0;0;35;40,8;0,2;48,4;97,1;386,4042;767,0286;301,9536
572;5;0;0;14,5625;22,5346;21,9913;0;0;0;3;4;40,7;142,6;28,7;103;58,4;364,8096;774,2718;403,173
573;5;0;0;13,625;24,3289;22,6712;0;1;0;0;0;115,5;84,8;11,6;17,4;43,9;335,0243;866,2756;363,1572
574;5;0,0577;0,4932;13,5;22,6234;22,774;0;0;0;0;0;147,4;58,6;21,7;7,9;34,9;314,7649;859,9378;348,561
575;5;0,024;0,3315;13,75;24,5676;24,0039;4;0;0;2;0;23,9;70,9;0,7;30;34,1;367,2698;804,568;348,6809
576;5;0;0;13,5625;27,6648;23,8804;0;0;0;1;2;88,2;60,6;12,5;21,7;65,4;384,7439;961,9153;364,0784
577;5;0;0;13,6471;21,4457;20,4396;2;0;1;0;0;100,2;157,3;0,9;37,6;126,2;366,6604;881,2897;387,4003
578;5;0,6036;0,0007;13,8;22,0413;19,5289;1;0;0;0;0;49,7;157,3;22,5;47,7;110,4;379,3615;880,4077;353,61
579;5;0,0196;0;13,8125;22,9615;23,7118;3;1;0;3;0;26,4;41,2;0,2;111;100;379,8227;779,9501;357,714
580;5;0,047;0;13,9375;24,0436;23,0554;6;1;0;0;0;21,4;57,6;2,7;73,5;62,3;381,1997;776,2741;334,098
581;5;0;0;13,7059;24,9701;22,7351;0;1;0;0;0;77,3;83,9;11,6;43,6;50;393,7511;877,248;349,9024
582;5;0,043;0,1927;13,625;25,5563;23,7302;6;0;0;2;0;28,2;54;0,7;33,1;35,9;342,972;865,2776;345,2296
583;5;0,6971;0,0264;13,6667;21,9419;19,5289;1;0;0;0;0;33,4;179,9;22,5;62,7;110,4;363,857;877,4543;367,385
584;5;0,1429;0;13,8667;23,2447;23,0554;6;0;0;1;0;22,8;56,2;2,7;105;62,3;350,9453;751,1652;373,3578
