Sample;CLUSTER;IWS_F1-M0;IWS_M0-M3;MOYDAY_E1-F1;MOYDAY_F1-M0;MOYDAY_M0-M3;MOYDAY_VE-E1;MOYPTQ_F1-M0;MOYPTQ_M0-M3;MOYTMIN_S-VE;NBDMAX1_E1-F1;NBDMIN1_E1-F1;SUMH2O_E1-F1;SUMH2O_F1-M0;SUMH2O_M0-M3;SUMH2O_S-VE;SUMH2O_VE-E1;SUMRG_E1-F1;SUMRG_F1-M0
291;7;0,0389;0,9449;14,5;13,8333;13,4;12,9388;1,5154;1,5761;10,45;1;2;63,5;9,1;6;11,6;186,9;472,1447;440,3423
292;7;0,0372;0,8003;13,7;13,9;12,3714;13,5385;1,7577;1,3849;9,5824;2;0;67,6;32,7;64;53;261,8;464,4572;504,0515
293;7;0;0,6764;13,7368;13,8824;13,7931;13,7714;1,5535;1,4347;4,7684;0;0;50,8;46,8;66,2;21,6;98,8;463,973;449,4928
294;7;0,0966;0,5141;14,5882;13,8947;12,9259;13,7222;1,647;1,3746;9,9917;0;0;47,5;31,3;77,3;15,4;159,8;482,0321;494,2526
295;7;0,0461;0,4498;14,4444;13,9;13,0741;13,475;1,658;1,4133;6,2591;0;0;65,5;50,2;104,8;45,2;110,8;481,2962;510,003
296;7;0;0,5753;14,1667;13,8947;13,3214;13,2857;1,6127;1,4647;5,7357;0;0;97,8;37;70,5;32,1;72,1;487,1671;481,7898
297;7;0,1929;0,9284;13,65;13,9444;12,0294;13,7429;1,5815;1,4408;9,4706;0;0;97,4;5,7;56,4;119,6;244,9;514,3907;471,9622
298;7;0,077;0,9708;13,85;13,8889;12,303;13,7;1,6021;1,4468;8,7737;2;0;58,2;22,6;33,3;27,7;111,2;488,5308;471,4765
299;7;0,1031;0,9633;13,7273;13,8421;12,2;13,7;1,6024;1,4646;9,4625;2;0;143,6;6,1;50;24,6;317,1;585,2214;488,3692
300;7;0,0485;0,9088;13,7143;13,9444;12,1765;13,7297;1,62;1,458;8,78;1;0;87,8;16,7;56,4;135;267;553,9464;472,1033
301;7;0,0999;0,9433;13,8;13,8947;12,4118;13,5208;1,6471;1,466;9,6214;4;0;29,7;45,8;52;22;143;541,7618;493,7389
302;7;0;0,4652;13,75;13,9;13,8148;13,4211;1,8867;1,4283;12,4429;0;0;77,2;16;45,8;20;134,6;445,081;551,1373
303;7;0,5674;0,9812;14,3636;14,3333;12,8824;13,7297;1,5131;1,2976;7,5923;0;1;31,4;12,5;21,7;30,8;206,7;500,8154;435,3242
304;7;0,3884;0,9996;14,1429;14,3;13,0606;13,4186;1,6759;1,3605;8,2923;0;1;18,8;13,5;6,2;11,9;201;442,791;489,5633
305;7;0,4503;0,9479;14,125;14,3158;12,9444;13,4186;1,6808;1,3245;8,2923;0;1;23,9;8,4;45,2;11,9;201;497,9038;478,1405
306;7;0,114;0,952;13,8235;13,2105;12,1111;13,697;1,5459;1,6923;6,38;2;1;109,6;14,6;46,7;8,2;80,1;447,4634;463,1447
307;7;0,0162;0,7487;14,2353;14,2632;13,0312;13,3654;1,5431;1,3896;7,7846;1;0;34,1;30,1;72,8;29,6;188,3;391,594;468,5594
308;7;0,0303;0,7927;14,1053;14,3684;12,9706;13,3654;1,6369;1,3683;7,7846;1;0;62,6;4,7;69,7;29,6;188,3;407,8458;499,7952
309;7;0,0463;0,7888;14,1905;14,2778;12,9459;13,3654;1,6285;1,3353;7,7846;1;0;62,6;4,7;71,6;29,6;188,3;465,1178;470,6078
310;7;0,0947;0,9613;14,5333;14,1053;13,36;13,6667;1,6353;1,2592;8,8818;1;0;105,7;27,7;52,1;48,5;108,1;402,2294;472,8877
311;7;0,1678;0,9762;14,5625;14,05;13,2593;13,6667;1,612;1,2593;8,8818;1;0;105,7;27,7;52,1;48,5;108,1;429,4472;495,3892
312;7;0;0,419;13,8667;13,8889;13,6071;13,1316;1,5843;1,3699;10,2778;0;0;131,7;39,8;67,1;19,4;269,6;403,5881;471,2504
313;7;0;0,617;14,8667;14,5455;13,6;13,7941;1,8411;1,4184;7,5917;0;0;22,2;36,6;29;23,4;201,5;415,7402;533,5344
314;7;0;0,6854;14,875;14,4783;13,3939;13,7941;1,8691;1,3666;7,5917;0;0;26,8;34,3;26,7;23,4;201,5;432,0562;556,7188
315;7;0;0,762;14,8889;14,4583;13,2353;13,7941;1,8981;1,3277;7,5917;0;0;30,6;33,4;23,8;23,4;201,5;484,6943;571,6382
316;7;0;0,1389;14,3333;14,2857;13,5806;13,7778;1,7903;1,3936;9,8556;0;0;45,1;52,4;65,8;21,9;66,3;359,8916;530,5612
317;7;0;0,748;14,7857;14,5417;13,3438;14,25;1,8022;1,4159;9,7889;0;0;6,3;37,8;38,5;39,8;136,4;330,0314;531,6329
318;7;0,0024;0,7888;14,6471;14,6087;13,2059;14,25;1,8065;1,3932;9,7889;0;0;18,6;26;38;39,8;136,4;383,629;521,4866
319;7;0;0,5999;14,125;13,8235;13,3871;12,9722;1,4081;1,4646;5,825;2;0;65,9;71,1;65,9;7,6;207,8;401,5602;423,4064
320;7;0;0,6768;14,1111;13,8235;13,3125;12,9722;1,5029;1,4632;5,825;2;0;89,5;47,5;65,9;7,6;207,8;433,1956;449,2649
321;7;0;0,6112;14,7143;13,85;13,6071;13,5278;1,667;1,5186;8,63;1;0;74,3;78,2;42;31,1;269,2;372,8189;506,4703
322;7;0;0,6924;14,625;13,8;13,5161;13,5278;1,7052;1,5087;8,63;1;0;106,1;51,2;37,2;31,1;269,2;409,617;501,0005
323;7;0;0,7528;14,5556;13,8;13,4242;13,5278;1,7275;1,4758;8,63;2;0;112;45,8;36,7;31,1;269,2;468,9911;496,1372
324;7;0;0,5119;14,0625;14;13,3667;13,1389;1,54;1,459;5,819;3;0;75,9;38,2;69,6;22,2;92;357,376;459,6415
325;7;0,112;0,8556;13,6471;13,6818;13,3529;13,6857;1,6917;1,5283;12,7429;0;0;51,1;70,1;82,9;28,5;164,1;422,2526;500,116
326;7;0,5323;0,9686;13,7;13,6667;13,0294;13,6061;1,7638;1,5796;10,1231;0;0;39,2;54,5;44,4;23,4;90,6;474,0444;525,5042
327;7;0,0535;0,9092;13,8889;13,7059;13,6897;12,8889;1,5834;1,5068;5,3053;0;0;55;10,6;50,8;80;83,7;479,961;468,6491
328;7;0,317;1;13,5789;12,95;12,7667;13,1071;1,8477;1,5543;5,6538;0;0;61,1;5,7;6;62,3;42,3;525,6677;546,4134
329;8;0,7344;1;12,9412;13,4286;13,8148;12;1,8807;1,5309;5,9;0;2;0;9,9;3,6;32,4;58,2;441,5414;545,8968
330;8;0,6152;1;12,8333;13,1111;13,7407;11,6216;1,5549;1,5392;4,2333;5;7;3,4;3;1;6,6;92,2;404,0773;467,4629
331;8;0,03;0,9551;12,6;13,4118;13,9167;11,7027;1,5917;1,4388;2,8;0;7;93,8;0,3;0;0,1;68,8;366,5333;469,1401
332;8;0;0,886;12,4737;13,2778;13,9167;11,6842;1,5479;1,4667;2,425;0;5;93,3;18,6;0;0,1;68,2;362,2309;460,22
333;8;0,4099;1;12,2222;12,8125;13,625;11,9355;1,2582;1,259;7,225;0;3;18,1;14,5;0;4;4,2;367,5712;354,0622
334;8;0,708;1;12,3333;12,8125;13,6957;11,9333;1,2327;1,2437;6,8625;0;4;17,6;15,7;0;4,7;3,9;379,5336;358,2418
335;8;0,3028;1;12,9412;13,2632;13,913;12,129;1,3712;1,2698;7,6875;0;5;18,2;4,8;4,1;0;87,9;409,3517;419,7744
336;8;0,1812;1;11,9;12,9375;13,6;11,5;1,4139;1,4527;9,2571;0;12;32,4;0;0;2,7;19,4;399,0258;419,7319
337;8;0,5021;1;12,0556;13;13,76;11,7647;1,4872;1,4391;8,1571;0;8;42;0;0,6;2,8;16,2;353,6672;453,335
